,org_id,endpoint_id,status,current,date_time,Churn_status
1378,160090,55749373,3,1,2017-12-02,Churned
7807,160090,55749374,3,1,2017-12-02,Churned
2434,160090,55749375,3,1,2017-12-02,Churned
1379,160090,55749376,3,1,2017-12-02,Churned
10811,160090,55749377,3,1,2017-12-02,Churned
9306,160090,55749379,3,1,2017-12-02,Churned
4470,160090,55749380,3,1,2017-12-02,Churned
15058,160090,55749381,3,1,2018-02-24,Churned
203,160090,55749382,3,1,2017-12-02,Churned
1380,160090,55749383,3,1,2017-12-02,Churned
4471,160090,55749384,3,1,2017-12-02,Churned
1551,160090,55749385,3,1,2017-12-02,Churned
13349,160090,55749387,3,1,2017-12-02,Churned
6399,160090,55749388,3,1,2017-12-02,Churned
10850,160090,55749389,4,0,2018-02-07,Not Churned
7869,160090,55749390,3,1,2017-12-02,Churned
9307,160090,55749392,3,1,2017-12-02,Churned
41774,160090,55749393,4,0,2018-06-19,Not Churned
7870,160090,55749395,3,1,2017-12-02,Churned
30238,160090,55749396,4,0,2018-06-22,Not Churned
4473,160090,55749397,3,1,2017-12-02,Churned
10395,160090,55749400,3,1,2017-12-02,Churned
52467,160090,55749402,4,0,2018-07-06,Not Churned
2981,160090,55749405,4,0,2018-02-06,Not Churned
7808,160090,55749406,3,1,2017-12-02,Churned
4934,160090,55749409,3,1,2017-12-02,Churned
20110,160090,55749412,4,0,2018-05-22,Not Churned
12154,160090,55749413,4,0,2018-02-06,Not Churned
13350,160090,55749414,3,1,2017-12-02,Churned
10604,160090,55749415,4,0,2018-02-06,Not Churned
3696,160090,55749416,3,1,2017-12-02,Churned
1552,160090,55749418,3,1,2017-12-02,Churned
4936,160090,55749419,3,1,2017-12-02,Churned
7872,160090,55749420,3,1,2017-12-02,Churned
10396,160090,55749421,3,1,2017-12-02,Churned
10813,160090,55749422,3,1,2017-12-02,Churned
7873,160090,55749423,3,1,2017-12-02,Churned
7809,160090,55749424,3,1,2017-12-02,Churned
6401,160090,55749425,3,1,2017-12-02,Churned
4937,160090,55749426,3,1,2017-12-02,Churned
4554,160090,55749427,3,1,2017-12-02,Churned
7874,160090,55749428,3,1,2017-12-02,Churned
4474,160090,55749429,3,1,2017-12-02,Churned
4555,160090,55749430,3,1,2017-12-02,Churned
4475,160090,55749432,3,1,2017-12-02,Churned
7810,160090,55749433,3,1,2017-12-02,Churned
13200,160090,55749435,3,1,2018-03-27,Churned
448,160090,55749436,3,1,2017-12-02,Churned
1553,160090,55749437,3,1,2017-12-02,Churned
1381,160090,55749438,3,1,2017-12-02,Churned
7876,160090,55749439,3,1,2017-12-02,Churned
7877,160090,55749440,3,1,2017-12-02,Churned
2479,160090,55749441,3,1,2017-12-02,Churned
74219,160090,55749442,4,0,2018-07-23,Not Churned
7878,160090,55749443,3,1,2017-12-02,Churned
1554,160090,55749444,3,1,2017-12-02,Churned
6402,160090,55749446,3,1,2017-12-02,Churned
4938,160090,55749448,3,1,2017-12-02,Churned
9309,160090,55749449,3,1,2017-12-02,Churned
1382,160090,55749450,3,1,2017-12-02,Churned
4556,160090,55749451,3,1,2017-12-02,Churned
6403,160090,55749452,3,1,2017-12-02,Churned
17858,160090,55749453,3,1,2018-02-24,Churned
7811,160090,55749454,3,1,2017-12-02,Churned
3697,160090,55749455,3,1,2017-12-02,Churned
16565,160090,55749457,4,0,2018-02-06,Not Churned
13351,160090,55749458,3,1,2017-12-02,Churned
9310,160090,55749459,3,1,2017-12-02,Churned
4940,160090,55749460,3,1,2017-12-02,Churned
9311,160090,55749462,3,1,2017-12-02,Churned
10814,160090,55749463,3,1,2017-12-02,Churned
7812,160090,55749464,3,1,2017-12-02,Churned
8011,160090,55749465,3,1,2017-12-02,Churned
10815,160090,55749467,3,1,2017-12-02,Churned
9312,160090,55749468,3,1,2017-12-02,Churned
1383,160090,55749469,3,1,2017-12-02,Churned
8012,160090,55749470,3,1,2017-12-02,Churned
8013,160090,55749471,3,1,2017-12-02,Churned
3698,160090,55749473,3,1,2017-12-02,Churned
1555,160090,55749474,3,1,2017-12-02,Churned
13352,160090,55749475,3,1,2017-12-02,Churned
8014,160090,55749476,3,1,2017-12-02,Churned
2982,160090,55749478,4,0,2018-02-06,Not Churned
6404,160090,55749479,3,1,2017-12-02,Churned
1475,160090,55749480,3,1,2017-12-02,Churned
7422,160090,55749481,3,1,2018-01-06,Churned
10816,160090,55749483,3,1,2017-12-02,Churned
10817,160090,55749484,3,1,2017-12-02,Churned
4557,160090,55749485,3,1,2017-12-02,Churned
4610,160090,55749487,3,1,2017-12-02,Churned
1556,160090,55749488,3,1,2017-12-02,Churned
449,160090,55749489,3,1,2017-12-02,Churned
13353,160090,55749490,3,1,2017-12-02,Churned
12069,160090,55749492,3,1,2018-05-10,Churned
13354,160090,55749493,3,1,2017-12-02,Churned
4476,160090,55749494,3,1,2017-12-02,Churned
204,160090,55749497,3,1,2017-12-02,Churned
4942,160090,55749498,3,1,2017-12-02,Churned
2480,160090,55749499,3,1,2017-12-02,Churned
20760,160090,55749500,3,1,2018-05-10,Churned
9349,160090,55749501,3,1,2017-12-02,Churned
2481,160090,55749503,3,1,2017-12-02,Churned
9350,160090,55749504,3,1,2017-12-02,Churned
13563,160090,55749506,4,0,2018-02-06,Not Churned
6405,160090,55749507,3,1,2017-12-02,Churned
8015,160090,55749508,3,1,2017-12-02,Churned
1476,160090,55749509,3,1,2017-12-02,Churned
4477,160090,55749510,3,1,2017-12-02,Churned
1557,160090,55749512,3,1,2017-12-02,Churned
4944,160090,55749513,3,1,2017-12-02,Churned
8016,160090,55749514,3,1,2017-12-02,Churned
1477,160090,55749515,3,1,2017-12-02,Churned
7814,160090,55749516,3,1,2017-12-02,Churned
9351,160090,55749517,3,1,2017-12-02,Churned
4478,160090,55749518,3,1,2017-12-02,Churned
7815,160090,55749519,3,1,2017-12-02,Churned
8017,160090,55749520,3,1,2017-12-02,Churned
1558,160090,55749521,3,1,2017-12-02,Churned
4611,160090,55749522,3,1,2017-12-02,Churned
8018,160090,55749523,3,1,2017-12-02,Churned
450,160090,55749524,3,1,2017-12-02,Churned
9352,160090,55749526,3,1,2017-12-02,Churned
13355,160090,55749527,3,1,2017-12-02,Churned
451,160090,55749528,3,1,2017-12-02,Churned
1559,160090,55749529,3,1,2017-12-02,Churned
32549,160090,55749530,4,0,2018-06-09,Not Churned
10818,160090,55749531,3,1,2017-12-02,Churned
4612,160090,55749532,3,1,2017-12-02,Churned
10819,160090,55749534,3,1,2017-12-02,Churned
10820,160090,55749535,3,1,2017-12-02,Churned
10229,160090,55749536,4,0,2018-02-21,Not Churned
1560,160090,55749537,3,1,2017-12-02,Churned
12684,160090,55749538,4,0,2018-01-16,Not Churned
4479,160090,55749539,3,1,2017-12-02,Churned
4637,160090,55749540,3,1,2017-12-02,Churned
2482,160090,55749541,3,1,2017-12-02,Churned
6407,160090,55749542,3,1,2017-12-02,Churned
6643,160090,55749544,3,1,2018-04-27,Churned
5085,160090,55749545,4,0,2018-03-22,Not Churned
57073,160090,55749546,4,0,2018-07-10,Not Churned
13357,160090,55749548,3,1,2017-12-02,Churned
205,160090,55749549,3,1,2017-12-02,Churned
20173,160090,55749550,4,0,2018-04-06,Not Churned
4614,160090,55749551,3,1,2017-12-02,Churned
10821,160090,55749552,3,1,2017-12-02,Churned
10397,160090,55749553,3,1,2017-12-02,Churned
1561,160090,55749555,3,1,2017-12-02,Churned
452,160090,55749556,3,1,2017-12-02,Churned
1562,160090,55749557,3,1,2017-12-02,Churned
1478,160090,55753657,3,1,2017-12-02,Churned
453,160090,55753658,3,1,2017-12-02,Churned
23465,160090,55753659,4,0,2018-05-14,Not Churned
10398,160090,55753660,3,1,2017-12-02,Churned
454,160090,55753661,3,1,2017-12-02,Churned
13525,160090,55753662,4,0,2018-04-11,Not Churned
1479,160090,55753664,3,1,2017-12-02,Churned
4638,160090,55753666,3,1,2017-12-02,Churned
4615,160090,55753667,3,1,2017-12-02,Churned
10822,160090,55753668,3,1,2017-12-02,Churned
16827,160090,55753669,4,0,2018-02-06,Not Churned
4639,160090,55753670,3,1,2017-12-02,Churned
13637,160090,55753671,3,1,2017-12-02,Churned
10823,160090,55753675,3,1,2017-12-02,Churned
1563,160090,55753676,3,1,2017-12-02,Churned
10824,160090,55753677,3,1,2017-12-02,Churned
10241,160090,55753679,3,1,2018-02-24,Churned
4640,160090,55753680,3,1,2017-12-02,Churned
7818,160090,55753681,3,1,2017-12-02,Churned
4641,160090,55753682,3,1,2017-12-02,Churned
7819,160090,55753683,3,1,2017-12-02,Churned
10825,160090,55753684,3,1,2017-12-02,Churned
9879,160090,55753685,3,1,2017-12-22,Churned
1564,160090,55753686,3,1,2017-12-02,Churned
9355,160090,55753687,3,1,2017-12-02,Churned
2485,160090,55753693,3,1,2017-12-02,Churned
4617,160090,55753696,3,1,2017-12-02,Churned
7820,160090,55753697,3,1,2017-12-02,Churned
6408,160090,55753698,3,1,2017-12-02,Churned
10948,160090,55753699,3,1,2017-12-02,Churned
8021,160090,55753701,3,1,2017-12-02,Churned
9116,160090,55753702,4,0,2018-02-06,Not Churned
1480,160090,55753703,3,1,2017-12-02,Churned
7821,160090,55753705,3,1,2017-12-02,Churned
46932,160090,55753706,4,0,2018-06-08,Not Churned
206,160090,55753707,3,1,2017-12-02,Churned
9356,160090,55753709,3,1,2017-12-02,Churned
10949,160090,55753710,3,1,2017-12-02,Churned
2486,160090,55753711,3,1,2017-12-02,Churned
1481,160090,55753712,3,1,2017-12-02,Churned
9357,160090,55753713,3,1,2017-12-02,Churned
4642,160090,55753714,3,1,2017-12-02,Churned
10400,160090,55753715,3,1,2017-12-02,Churned
13952,160090,55753716,4,0,2017-12-29,Not Churned
4643,160090,55753717,3,1,2017-12-02,Churned
4945,160090,55753719,3,1,2017-12-02,Churned
4618,160090,55753720,3,1,2017-12-02,Churned
207,160090,55753721,3,1,2017-12-02,Churned
2487,160090,55753722,3,1,2017-12-02,Churned
